arm,t,cif_aki,cif_death
deep,2.180904522613065,0.05772679580946321,0.03735057377036221
deep,2.2160804020100504,0.05772679580946321,0.03789918374242023
deep,2.251256281407035,0.05772679580946321,0.03789918374242023
deep,2.28643216080402,0.05772679580946321,0.038174806285188295
deep,2.321608040201005,0.05772679580946321,0.038174806285188295
deep,2.35678391959799,0.05772679580946321,0.038174806285188295
deep,2.391959798994975,0.05772679580946321,0.038174806285188295
deep,2.4271356783919598,0.05772679580946321,0.038174806285188295
deep,2.4623115577889445,0.05916517532854886,0.038174806285188295
deep,2.4974874371859297,0.05986118079646734,0.038753485932877606
deep,2.5326633165829144,0.05986118079646734,0.03998033993862003
deep,2.5678391959798996,0.05986118079646734,0.04079486341348606
deep,2.6030150753768844,0.06068049573015428,0.04079486341348606
deep,2.638190954773869,0.06098837593598113,0.04079486341348606
deep,2.6733668341708543,0.06174535377296612,0.04079486341348606
deep,2.708542713567839,0.06174535377296612,0.04079486341348606
deep,2.7437185929648242,0.06174535377296612,0.042509366548694694
deep,2.778894472361809,0.06174535377296612,0.042509366548694694
deep,2.8140703517587937,0.06174535377296612,0.042509366548694694
deep,2.849246231155779,0.06210779136253454,0.042509366548694694
deep,2.8844221105527637,0.06210779136253454,0.042509366548694694
deep,2.919597989949749,0.06210779136253454,0.042509366548694694
deep,2.9547738693467336,0.06276124325897389,0.042509366548694694
deep,2.9899497487437188,0.06338079155926893,0.04404068016691344
deep,3.0251256281407035,0.06338079155926893,0.04404068016691344
deep,3.0603015075376883,0.06338079155926893,0.04404068016691344
deep,3.0954773869346734,0.06338079155926893,0.04404068016691344
deep,3.130653266331658,0.06422849088019097,0.04462214055225509
deep,3.1658291457286434,0.06422849088019097,0.04462214055225509
deep,3.201005025125628,0.06422849088019097,0.04462214055225509
deep,3.236180904522613,0.06422849088019097,0.04462214055225509
deep,3.271356783919598,0.06422849088019097,0.045722600534320194
deep,3.306532663316583,0.06422849088019097,0.045722600534320194
deep,3.341708542713568,0.06422849088019097,0.045722600534320194
deep,3.3768844221105527,0.06422849088019097,0.045722600534320194
deep,3.4120603015075375,0.06422849088019097,0.045722600534320194
deep,3.4472361809045227,0.06489005003524204,0.045722600534320194
deep,3.4824120603015074,0.06489005003524204,0.045722600534320194
deep,3.5175879396984926,0.06489005003524204,0.045722600534320194
deep,3.5527638190954773,0.06580933536918185,0.045722600534320194
deep,3.587939698492462,0.06580933536918185,0.04620810832773091
deep,3.6231155778894473,0.06580933536918185,0.04620810832773091
deep,3.658291457286432,0.0665483419790802,0.04691268961210751
deep,3.693467336683417,0.0665483419790802,0.04691268961210751
deep,3.728643216080402,0.0665483419790802,0.04691268961210751
deep,3.7638190954773867,0.0665483419790802,0.04736168273359177
deep,3.798994974874372,0.0665483419790802,0.04736168273359177
deep,3.8341708542713566,0.0665483419790802,0.04736168273359177
deep,3.869346733668342,0.0665483419790802,0.04736168273359177
deep,3.9045226130653266,0.0665483419790802,0.04736168273359177
deep,3.9396984924623117,0.0665483419790802,0.04787825581848524
deep,3.9748743718592965,0.0665483419790802,0.04787825581848524
deep,4.010050251256281,0.0665483419790802,0.04787825581848524
deep,4.045226130653266,0.0665483419790802,0.04787825581848524
deep,4.080402010050252,0.0665483419790802,0.04787825581848524
deep,4.115577889447236,0.0665483419790802,0.04787825581848524
deep,4.150753768844221,0.0665483419790802,0.04851573070230872
deep,4.185929648241206,0.06727483979437275,0.049037683669880726
deep,4.221105527638191,0.06727483979437275,0.049037683669880726
deep,4.256281407035176,0.06803075095131031,0.049037683669880726
deep,4.291457286432161,0.06803075095131031,0.049037683669880726
deep,4.326633165829145,0.06803075095131031,0.049037683669880726
deep,4.36180904522613,0.06803075095131031,0.049037683669880726
deep,4.396984924623116,0.06803075095131031,0.049037683669880726
deep,4.432160804020101,0.06803075095131031,0.049037683669880726
deep,4.467336683417085,0.06803075095131031,0.049037683669880726
deep,4.50251256281407,0.06874697693871638,0.049037683669880726
deep,4.5376884422110555,0.06874697693871638,0.049037683669880726
deep,4.57286432160804,0.06874697693871638,0.049037683669880726
deep,4.608040201005025,0.06874697693871638,0.04968061484263294
deep,4.64321608040201,0.06874697693871638,0.04968061484263294
deep,4.678391959798995,0.06874697693871638,0.04968061484263294
deep,4.71356783919598,0.06874697693871638,0.04968061484263294
deep,4.748743718592965,0.06874697693871638,0.04968061484263294
deep,4.78391959798995,0.06874697693871638,0.04968061484263294
deep,4.819095477386934,0.06874697693871638,0.04968061484263294
deep,4.8542713567839195,0.06874697693871638,0.04968061484263294
deep,4.889447236180905,0.06874697693871638,0.04968061484263294
deep,4.924623115577889,0.06874697693871638,0.04968061484263294
deep,4.959798994974874,0.06874697693871638,0.04968061484263294
deep,4.994974874371859,0.06874697693871638,0.04968061484263294
deep,5.030150753768845,0.06874697693871638,0.04968061484263294
deep,5.065326633165829,0.06874697693871638,0.04968061484263294
deep,5.100502512562814,0.06874697693871638,0.04968061484263294
deep,5.135678391959799,0.06874697693871638,0.04968061484263294
deep,5.1708542713567835,0.06874697693871638,0.04968061484263294
deep,5.206030150753769,0.06874697693871638,0.05076730278856611
deep,5.241206030150754,0.06874697693871638,0.05076730278856611
deep,5.276381909547738,0.06874697693871638,0.05076730278856611
deep,5.311557788944723,0.06874697693871638,0.05076730278856611
deep,5.346733668341709,0.07014533889857529,0.05076730278856611
deep,5.381909547738694,0.07014533889857529,0.05076730278856611
deep,5.417085427135678,0.07014533889857529,0.0509894449639853
deep,5.452261306532663,0.07014533889857529,0.051622544627785906
deep,5.4874371859296485,0.07014533889857529,0.051622544627785906
deep,5.522613065326633,0.07014533889857529,0.051622544627785906
deep,5.557788944723618,0.07014533889857529,0.052128720412439954
deep,5.592964824120603,0.07067041020422386,0.052128720412439954
deep,5.628140703517587,0.07067041020422386,0.05260631896607575
deep,5.663316582914573,0.07067041020422386,0.05330770913034514
deep,5.698492462311558,0.07067041020422386,0.05398145307602249
deep,5.733668341708543,0.07067041020422386,0.05398145307602249
deep,5.768844221105527,0.07067041020422386,0.05398145307602249
deep,5.8040201005025125,0.07067041020422386,0.05398145307602249
deep,5.839195979899498,0.07067041020422386,0.05446966303043342
deep,5.874371859296482,0.07067041020422386,0.05446966303043342
deep,5.909547738693467,0.07067041020422386,0.05446966303043342
deep,5.944723618090452,0.07067041020422386,0.05446966303043342
deep,5.9798994974874375,0.07067041020422386,0.055062895541606906
deep,6.015075376884422,0.07067041020422386,0.055062895541606906
deep,6.050251256281407,0.07067041020422386,0.0557948214052878
deep,6.085427135678392,0.07067041020422386,0.0557948214052878
deep,6.1206030150753765,0.07067041020422386,0.0557948214052878
deep,6.155778894472362,0.07067041020422386,0.0561690867799329
deep,6.190954773869347,0.07067041020422386,0.0561690867799329
deep,6.226130653266331,0.0713223777476879,0.0561690867799329
deep,6.261306532663316,0.0713223777476879,0.0561690867799329
